co_ies,co_mantenedora,co_conglomerate,nome_conglomerate,sigla_conglomerate,nome_mantenedora
12416,848,10001,ESTACIO PARTICIPACOES S.A.,ESTACIO,UNISEB UNIAO DOS CURSOS SUPERIORES SEB LTDA
1660,1086,10001,ESTACIO PARTICIPACOES S.A.,ESTACIO,IESST - INSTITUTO DE ENSINO SUPERIOR SOCIAL E TECNOLOGICO
2501,119,10001,ESTACIO PARTICIPACOES S.A.,ESTACIO,SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SA LTDA
4277,2683,10001,ESTACIO PARTICIPACOES S.A.,ESTACIO,CENTRO DE ASSISTENCIA AO DESENVOLVIMENTO DE FORMACAO PROFISSIONAL UNICEL LTDA
1591,1043,10001,ESTACIO PARTICIPACOES S.A.,ESTACIO,SOCIEDADE EDUCACIONAL DA AMAZONIA LTDA
1590,1042,10001,ESTACIO PARTICIPACOES S.A.,ESTACIO,UB UNISAOLUIS EDUCACIONAL S.A
4566,2861,10001,ESTACIO PARTICIPACOES S.A.,ESTACIO,SOCIEDADE UNIVERSITARIA DE EXCELENCIA EDUCACIONAL DO RIO GRANDE DO NORTE LTDA
4094,3547,10001,ESTACIO PARTICIPACOES S.A.,ESTACIO,IDEZ EMPREENDIMENTOS EDUCACIONAIS LTDA.
1521,1000,10001,ESTACIO PARTICIPACOES S.A.,ESTACIO,ORGANIZACAO PARAENSE EDUCACIONAL E DE EMPREENDIMENTOS LTDA
1058,545,10001,ESTACIO PARTICIPACOES S.A.,ESTACIO,"IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA."
3838,1566,10001,ESTACIO PARTICIPACOES S.A.,ESTACIO,UNIUOL GESTAO DE EMPREENDIMENTOS EDUCAC. E PARTICIPACOES S/A
3170,626,10001,ESTACIO PARTICIPACOES S.A.,ESTACIO,ASSOCIACAO DE ENSINO DE SANTA CATARINA
1208,816,10001,ESTACIO PARTICIPACOES S.A.,ESTACIO,ANEC - SOCIEDADE NATALENSE DE EDUCACAO E CULTURA LTDA
1175,799,10001,ESTACIO PARTICIPACOES S.A.,ESTACIO,SOCIEDADE EDUCACIONAL DO RIO GRANDE DO SUL
1702,1122,10001,ESTACIO PARTICIPACOES S.A.,ESTACIO,SOCIEDADE EDUCACIONAL ATUAL DA AMAZONIA LTDA
344,3052,10002,GAEC EDUCACAO S.A.,ANIMA,MINAS GERAIS EDUCACAO SA
203,143,10002,GAEC EDUCACAO S.A.,ANIMA,AMC - SERVICOS EDUCACIONAIS LTDA
349,14298,10002,GAEC EDUCACAO S.A.,ANIMA,INSTITUTO MINEIRO DE EDUCACAO E CULTURA UNI-BH S/A
1464,15225,10002,GAEC EDUCACAO S.A.,ANIMA,HSM EDUCACAO S.A.
502,346,10002,GAEC EDUCACAO S.A.,ANIMA,INSTITUTO DE EDUCACAO E CULTURA UNIMONTE S/A
671,2600,10003,KROTON EDUCACIONAL S.A.,KROTON,ANHANGUERA EDUCACIONAL LTDA
1442,15801,10003,KROTON EDUCACIONAL S.A.,KROTON,UNIC EDUCACIONAL LTDA
2037,1029,10003,KROTON EDUCACIONAL S.A.,KROTON,UNIME - UNIAO METROPOLITANA PARA O DESENVOLVIMENTO DA EDUCACAO E CULTURA LTDA.
2175,821,10003,KROTON EDUCACIONAL S.A.,KROTON,SOCIEDADE EDUCACIONAL LEONARDO DA VINCI S/S LTDA
2755,1794,10003,KROTON EDUCACIONAL S.A.,KROTON,ASSEVIM - SOCIEDADE EDUCACIONAL DO VALE DO ITAJAI MIRIM LTDA.
2773,1805,10003,KROTON EDUCACIONAL S.A.,KROTON,UNIAO DE FACULDADES DO AMAPA LTDA
3034,1965,10003,KROTON EDUCACIONAL S.A.,KROTON,IUNI EDUCACIONAL - UNIME SALVADOR LTDA
2395,631,10003,KROTON EDUCACIONAL S.A.,KROTON,UNIAO EDUCACIONAL CANDIDO RONDON - UNIRONDON LTDA
